experiment,mlp_width,steps,timed_steps,seed,training_seconds,training_minutes,core,val_bpb,source_commit,original_result_sha256
nc027,5120,9873,9862,42,4402.637227535248,73.37728712558746,0.258965,0.723,4bbd30013920fb579fd0fc9e465ed79a5daafcd0,551953e9af926149ee5a6bf8b76bb223b5b60572a83484b1c12e50f2fabae166
nc029,5120,9841,9830,42,4409.833083868027,73.4972180644671,0.263907,0.723137,693694c1567e15286e0289360f9b4568773f4e7d,6a2f27adbc80c3c0392554f7e7f8c9ffbcab71f83bbbb6b32269ca9c3322b628
nc033,4864,9841,9830,42,4334.512382268906,72.2418730378151,0.259212,0.724029,a72e2f4b16595a3409edc39b00e07e22bee45c09,2b7c87af1cf79891ab9eb17b2d6962c09db84c1aa356f035fcf3f963914a5354
